SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110080	L32	1	2	1	1	1	1	0	0	0	0	0	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110120	L32	0	0	0	0	1	1	2	1	2	0	0	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110198	L32	1	2	3	2	2	1	1	1	0	0	0	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110211	L32	2	3	2	1	2	1	1	1	0	0	0	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110220	L32	0	0	0	0	1	1	2	2	3	1	2	1	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110277	L32	0	0	0	0	0	1	2	1	2	1	1	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110285	L32	0	0	0	0	2	1	2	2	3	1	1	1	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110307	L32	2	3	2	2	2	1	1	0	0	0	0	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	110348	L32	1	2	2	1	1	1	1	0	0	0	0	0	0
SS08	outerjeans	2007-08-29 09:14:29	australia	Cotton Road	Hemlock	1001	Australia	retailer	114901	L32	0	0	0	0	1	1	2	2	3	1	2	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110001	L32	2	3	2	2	2	1	1	0	0	0	0	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110002	L32	2	3	2	2	2	1	1	0	0	0	0	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110160	L32	0	0	0	0	1	2	2	2	3	2	1	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110281	L32	0	0	0	0	1	2	2	1	3	2	1	1	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110287	L32	0	0	0	0	1	2	2	2	3	2	1	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110305	L32	1	3	3	2	2	1	1	0	0	0	0	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110415	L32	1	1	2	2	2	2	2	1	0	0	0	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110428	L32	1	2	3	3	2	1	1	0	0	0	0	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	110505	L32	0	0	0	0	1	1	2	2	3	2	1	1	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	114043	L32	0	0	0	0	1	1	2	2	3	3	1	0	0
FW08	outerjeans	2008-03-03 07:32:16	australia	Cotton Road	Hemlock	1001	Australia	retailer	114901	L32	0	0	0	0	1	2	2	2	3	2	1	0	0
